PT.DOT Data Generator
AI-Powered Cultural POI Population Tool

Img Quality

Balanced (600px)
2005 POIs Generated
Single Generation
Solares e Conventos em Viseu
Generate Single
Full Country Batch
Strategy

Enrichment (Exclude Pillories)
Strictly excludes Fountains/Pillories. Focuses on SIPA IDs for Solares, Bridges, Ermidas.

Start From (Checkpoint)

Aveiro (Step 1)
Extraction Depth (Per District)

MAXIMUM (All Feasible)
Splits requests by theme automatically.

Start Full Batch
Preview
SQL Script
CSV Export
Main Data (Clean)
Images Relations (DB)
id,name,name_pt,category,subcategory,architect,year,description,wikipedia_url,sipa_id,lat,lon,source
1,"Aveiro Cathedral (Church of São Domingos)","Sé de Aveiro (Igreja de São Domingos)","church","Cathedral","Desconhecido","Séc. XV","Originalmente parte de um convento dominicano fundado no século XV, a Sé de Aveiro, ou Igreja de São Domingos, foi elevada a catedral em 1938. Apresenta uma arquitetura que reflete as diversas intervenções ao longo dos séculos, combinando elementos góticos e maneiristas na sua estrutura. Destacam-se o portal principal, o púlpito barroco e os painéis de azulejo no seu interior, que narram episódios bíblicos. A torre sineira é um elemento distintivo no panorama urbano de Aveiro.","","PT020105020005",40.6409,-8.6534,"Batch (enrichment): Aveiro"
2,"Monastery of Jesus (Convent of Jesus / Aveiro Museum)","Mosteiro de Jesus (Convento de Jesus / Museu de Aveiro)","church","Convent","Vários ao longo dos séculos, incluindo Gaspar Ferreira e António Gomes","1461","Fundado em 1461, este convento feminino da Ordem Dominicana é famoso por ter acolhido a Princesa Santa Joana (filha de D. Afonso V) no século XV. A sua igreja, em estilo barroco, é um dos exemplos mais notáveis da talha dourada no país. O túmulo de Santa Joana, em mármore policromado, é uma obra-prima da escultura barroca. Atualmente, alberga o Museu de Aveiro, que preserva o espólio do convento e arte sacra.","","PT020105020004",40.6404,-8.6546,"Batch (enrichment): Aveiro"
3,"Church of Misericórdia of Aveiro","Igreja da Misericórdia de Aveiro","church","Church","Desconhecido","Séc. XVI-XVII","Construída entre os séculos XVI e XVII, a Igreja da Misericórdia de Aveiro é um exemplo notável da arquitetura maneirista e barroca. A fachada, com o seu portal renascentista, é particularmente impressionante. O interior, de nave única, é ricamente decorado com painéis de azulejos policromados do século XVII, talha dourada e um teto pintado. É um dos edifícios religiosos mais importantes da cidade.","","PT020105020011",40.6417,-8.6521,"Batch (enrichment): Aveiro"
4,"Chapel of Senhor das Barrocas","Capela do Senhor das Barrocas","church","Chapel","Desconhecido","Séc. XVIII","Edificada no século XVIII, esta capela é um exemplar magnífico do barroco joanino em Aveiro. A sua fachada é marcada por volutas e elementos decorativos exuberantes. O interior, de planta octogonal, é coberto por uma cúpula e destaca-se pela talha dourada nos altares e pelos painéis de azulejos figurativos. É dedicada ao Senhor da Santa Cruz e constitui um ponto de referência da arte barroca local.","","PT020105020010",40.6397,-8.6517,"Batch (enrichment): Aveiro"
5,"Church of Our Lady of Presentation (Carmo)","Igreja de Nossa Senhora da Apresentação (Carmo)","church","Church","Desconhecido","Séc. XVII","Esta igreja foi parte do antigo Convento do Carmo, fundado em 1618. Apresenta uma fachada com elementos maneiristas e barrocos. O interior é de nave única, decorado com altares de talha dourada e azulejos. É um importante exemplar da arquitetura religiosa carmelita na cidade de Aveiro, com um ambiente de grande serenidade.","","PT020105020006",40.641,-8.656,"Batch (enrichment): Aveiro"
6,"Church and Convent of Saint Anthony (Aveiro)","Igreja e Convento de Santo António (Aveiro)","church","Convent","Desconhecido","Séc. XV","O convento franciscano de Santo António, fundado no século XV, teve a sua igreja reconstruída nos séculos XVII e XVIII. Embora o convento tenha sido secularizado, a igreja mantém-se um importante local de culto. Apresenta uma fachada simples com um portal barroco. O interior é notável pela sua talha dourada e pelos painéis de azulejos que revestem as paredes.","","PT020105020008",40.6415,-8.6565,"Batch (enrichment): Aveiro"
7,"Chapel of São Gonçalinho (Aveiro)","Capela de São Gonçalinho (Aveiro)","church","Chapel","Desconhecido","Séc. XVIII","Pequena e pitoresca capela do século XVIII, dedicada a São Gonçalo de Amarante, padroeiro dos pescadores e dos casamenteiros. Situa-se junto à Ria de Aveiro, num local de grande visibilidade. A sua arquitetura é simples, mas charmosa, com um alpendre frontal e uma fachada azulejada. É o centro de uma das festas populares mais animadas de Aveiro.","","PT020105020012",40.6372,-8.6508,"Batch (enrichment): Aveiro"
8,"Church of Our Lady of Piety (Aveiro)","Igreja de Nossa Senhora da Piedade (Aveiro)","church","Church","Desconhecido","Séc. XVI","Igreja de origem do século XVI, embora tenha sofrido alterações significativas nos séculos seguintes, especialmente no século XVIII. Apresenta uma fachada barroca e um interior com altares de talha dourada e algumas pinturas. Está ligada à antiga Companhia de Jesus, tendo sido a igreja do Colégio de Santo Inácio.","","PT020105020007",40.6385,-8.6515,"Batch (enrichment): Aveiro"
9,"Parish Church of Vera Cruz (Aveiro)","Igreja Paroquial de Vera Cruz (Aveiro)","church","Church","Desconhecido","Séc. XVIII","Igreja do século XVIII, dedicada a São Miguel, que serve como igreja paroquial da Vera Cruz. Apresenta uma arquitetura barroca simples, mas elegante, com uma fachada de linhas sóbrias e uma torre sineira lateral. O interior possui altares de talha e alguns elementos decorativos da época.","","PT020105020009",40.6465,-8.6575,"Batch (enrichment): Aveiro"
10,"Mother Church of Ovar (Church of São Cristóvão)","Igreja Matriz de Ovar (Igreja de São Cristóvão)","church","Church","Desconhecido","Séc. XVII-XVIII","A Igreja Matriz de Ovar, dedicada a São Cristóvão, é um notável exemplar da arquitetura religiosa. A sua construção estendeu-se por vários séculos, desde o gótico até ao barroco, mas é especialmente conhecida pelos seus azulejos azuis e brancos que revestem a fachada e a torre sineira, uma característica muito distintiva na região de Aveiro. O interior também possui uma rica decoração.","","PT010115080006",40.8655,-8.6254,"Batch (enrichment): Aveiro"
