name,name_pt,category,subcategory,description,wikipedia_url,sipa_id,external_osm_id,lat,lon,source,image,images
Forte da Barra de Aveiro,Forte da Barra de Aveiro,castle,Forte,"Construído no final do século XVII e concluído por volta de 1700, por ordem de D. Pedro II. É uma fortificação costeira, de arquitetura militar barroca, concebida para defender a entrada da barra do porto de Aveiro. Apresenta uma planta poligonal irregular, com baluartes e parapeitos em cantaria, adaptada à orografia local para proteger a área de eventuais ataques marítimos. Embora a sua função defensiva tenha diminuído ao longo do tempo, permanece como um testemunho da estratégia militar da época.",https://pt.wikipedia.org/wiki/Forte_da_Barra_de_Aveiro,00018593,,40.637778,-8.746111,Batch: Aveiro,https://upload.wikimedia.org/wikipedia/commons/2/29/Forte_da_Barra_-_Aveiro_2018.jpg,[]
Aveiro Boardwalks,Passadiços de Aveiro,trail,Trilho,"Inaugurados em 2021, os Passadiços de Aveiro, também conhecidos como Percurso dos Caiados, são uma infraestrutura moderna de ecoturismo. Não têm um arquiteto individual atribuído, sendo um projeto de engenharia paisagística e civil. Estendem-se por vários quilómetros ao longo da Ria de Aveiro, permitindo aos visitantes explorar a paisagem lagunar, observar a avifauna e desfrutar da natureza única da região. Foram concebidos para promover a sustentabilidade e o contacto com o ambiente natural da ria.",https://pt.wikipedia.org/wiki/Ria_de_Aveiro,,,40.6409,-8.6366,Batch: Aveiro,https://upload.wikimedia.org/wikipedia/commons/e/e0/Passadi%C3%A7os_de_Aveiro_1.jpg,[]
Museum of Aveiro / Convent of Jesus,Museu de Aveiro / Convento de Jesus,church,"Convento, Museu","Fundado em 1461, o Convento de Jesus de Aveiro não tem um único arquiteto mas foi construído ao longo de vários séculos. A sua arquitetura inicial gótica e manuelina deu lugar a importantes intervenções barrocas, nomeadamente no século XVII e XVIII. É um dos mais importantes edifícios religiosos de Aveiro, conhecido por ter sido o lar de Santa Joana Princesa (filha de D. Afonso V), cujo túmulo, uma obra-prima de embutidos de mármore policromado, é um ex-libris do Barroco joanino. Após a extinção das ordens religiosas em 1834, o convento foi transformado em museu, abrigando um vasto acervo de arte sacra.",https://pt.wikipedia.org/wiki/Convento_de_Jesus_(Aveiro),00003058,,40.640833,-8.653333,Batch: Aveiro,https://upload.wikimedia.org/wikipedia/commons/1/1a/Convento_de_Jesus_1.jpg,[]
Aveiro Cathedral,Sé de Aveiro (Igreja de São Domingos),church,Catedral,"A Sé de Aveiro, originalmente a Igreja do Convento de São Domingos, foi fundada em 1423, sendo o edifício atual, com influências maneiristas e barrocas, construído maioritariamente nos séculos XV e XVI. Não há um arquiteto único documentado para a sua construção inicial. Apresenta uma torre sineira gótica e um portal principal de estilo maneirista. No interior, destaca-se a sua planta de cruz latina e nave única, com vários altares laterais decorados com talha dourada barroca e painéis de azulejos. Foi elevada a Catedral em 1938, tornando-se o centro da Diocese de Aveiro.",https://pt.wikipedia.org/wiki/Catedral_de_Aveiro,00003059,,40.6385,-8.6508,Batch: Aveiro,https://upload.wikimedia.org/wikipedia/commons/7/75/Catedral_de_Aveiro_-_Aveiro_2018.jpg,[]
Infante Dom Pedro Park,Parque Infante Dom Pedro,park,Jardim,"Inaugurado em 1862, o Parque Infante Dom Pedro é o mais antigo jardim público de Aveiro, projetado pelo paisagista Francisco de Melo Leotte. Concebido no estilo romântico, com influências dos jardins à inglesa e à francesa, o parque é um oásis verde na cidade. Possui um lago pitoresco com uma ilha, um coreto, diversas estátuas e uma rica variedade botânica. Ao longo dos anos, tem sido alvo de diversas requalificações, mantendo-se como um local privilegiado para o lazer e a contemplação, refletindo a estética paisagística do século XIX.",https://pt.wikipedia.org/wiki/Parque_Infante_Dom_Pedro,,,40.64,-8.6521,Batch: Aveiro,https://upload.wikimedia.org/wikipedia/commons/b/b5/Parque_Infante_Dom_Pedro_%28Aveiro%29.jpg,[]
Aveiro Lighthouse (Barra Lighthouse),Farol da Barra de Aveiro,monument,Farol,"Construído entre 1879 e 1893, o Farol da Barra de Aveiro, não tendo um arquiteto único atribuído, resultou do trabalho de engenheiros da Direção de Faróis, sendo um marco da engenharia da sua época. Entrou em funcionamento em 1893. Com 62 metros de altura, é o segundo farol mais alto de Portugal e um dos maiores da Península Ibérica. A sua estrutura imponente, em alvenaria com torre cilíndrica e lanterna, é essencial para a segurança da navegação na entrada da Ria de Aveiro. Possui 271 degraus internos que conduzem ao topo, oferecendo vistas panorâmicas sobre a costa e a ria.",https://pt.wikipedia.org/wiki/Farol_da_Barra_de_Aveiro,00018592,,40.6387,-8.7466,Batch: Aveiro,https://upload.wikimedia.org/wikipedia/commons/f/fe/Farol_da_Barra_-_Aveiro_2018.jpg,[]
Beja Castle,Castelo de Beja,castle,Gótico,"A torre de menagem foi construída no século XIV (1300-1307) por ordem do Rei D. Dinis, sob a direção do arquiteto mestre Afonso Domingues (o mesmo que trabalhou no Mosteiro da Batalha). O castelo, de origem romana e posteriormente fortificado pelos Visigodos e Mouros, foi reconstruído na sua forma atual após a Reconquista Cristã. A torre, em granito, é um dos mais impressionantes exemplos da arquitetura militar gótica em Portugal, com cerca de 40 metros de altura e coroada por merlões. As muralhas da cerca do castelo e da cidade apresentam elementos de diferentes épocas, refletindo a sua longa história defensiva.",https://pt.wikipedia.org/wiki/Castelo_de_Beja,PT040205020002,,38.0163,-7.8631,Batch: Beja,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Beja-Castelo.jpg/1280px-Beja-Castelo.jpg,[]
Mértola Castle,Castelo de Mértola,castle,"Medieval, Gótico","As fundações do castelo remontam ao período romano, com posteriores fortificações islâmicas. A estrutura atual foi largamente reconstruída e fortificada no século XIII, após a Reconquista Cristã, embora sem um arquiteto específico nomeado, baseando-se em vestígios de fortificações anteriores. A torre de menagem, erguida por volta de 1292, é de estilo gótico militar e foi edificada sobre as ruínas da antiga alcáçova islâmica. Dentro do complexo, destaca-se a adaptação da antiga mesquita em igreja matriz de Nossa Senhora da Anunciação, no século XIII. O castelo reflete a importância estratégica de Mértola como porto fluvial no Guadiana ao longo dos séculos.",https://pt.wikipedia.org/wiki/Castelo_de_M%C3%A9rtola,PT040209070001,,37.6393,-7.6621,Batch: Beja,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Castelo_de_M%C3%A9rtola_2.jpg/1280px-Castelo_de_M%C3%A9rtola_2.jpg,[]
Roman Ruins of São Cucufate,Ruínas Romanas de São Cucufate,ruins,"Villa Romana, Arqueológico","Este sítio arqueológico, cujas construções datam dos séculos I a IV d.C., não tem um arquiteto específico conhecido. O complexo consistia numa rica ""villa"" romana com uma área residencial (""pars urbana""), uma área agrícola (""pars rustica"") e uma área industrial (""pars fructuaria""). As ruínas incluem vestígios de banhos termais, lagares de vinho e oliveiras, e diversas divisões com mosaicos e frescos que atestam a opulência da propriedade. As paredes conservam ainda, em alguns locais, dois andares, o que é raro em Portugal. A ocupação do local estendeu-se até à época visigótica e islâmica, com o reaproveitamento de estruturas para atividades rurais.",https://pt.wikipedia.org/wiki/Villa_romana_de_S%C3%A3o_Cucufate,PT040212060002,,38.257,-7.7801,Batch: Beja,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Villa_romana_de_S%C3%A3o_Cucufate.jpg/1280px-Villa_romana_de_S%C3%A3o_Cucufate.jpg,[]
Church of Our Lady of Conception (Beja Cathedral),Igreja de Nossa Senhora da Conceição (Sé de Beja),church,"Maneirismo, Catedral","A igreja foi construída entre 1590 e 1612 pelo arquiteto Jorge Rodrigues, sobre os alicerces da antiga Ermida de Santo Estêvão. A sua fachada monumental é um exemplo notável do maneirismo português, com elementos que preludiam o barroco. O interior, de nave única, é grandioso, destacando-se o retábulo-mor em talha dourada e os painéis de azulejos policromados do século XVII. Em 1770, foi elevada a Sé Catedral de Beja. A sua arquitetura reflete a transição entre o renascimento e o barroco, com uma forte influência do estilo jesuítico.",https://pt.wikipedia.org/wiki/Igreja_de_Nossa_Senhora_da_Concei%C3%A7%C3%A3o_(Beja),PT040205020004,,38.0163,-7.8631,Batch: Beja,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Beja_-_Catedral_2.jpg/1280px-Beja_-_Catedral_2.jpg,[]
Beja Regional Museum (Former Convent of Conception),Museu Regional de Beja (Antigo Convento da Conceição),palace,"Convento, Manuelino, Gótico, Barroco, Museu","O Convento de Nossa Senhora da Conceição, que hoje acolhe o Museu Regional de Beja, foi fundado em 1459 pela infanta D. Brites. O edifício foi construído e remodelado ao longo dos séculos XV e XVIII, sem um único arquiteto principal conhecido para todas as fases. Integra elementos de arquitetura gótica, manuelina e barroca. Destacam-se o claustro manuelino, a sala do Capítulo com azulejos hispano-mouriscos e o túmulo da infanta. O edifício foi edificado sobre um antigo palácio mourisco, e as suas dependências refletem a riqueza e poder da ordem religiosa, com capelas ricamente decoradas, retábulos e diversas coleções de arte sacra, arqueologia e etnografia. A sua dimensão e as suas características palacianas justificam a sua inclusão nesta categoria.",https://pt.wikipedia.org/wiki/Museu_Regional_de_Beja,PT040205020005,,38.0145,-7.8634,Batch: Beja,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Museu_Regional_de_Beja_-_Claustro_Manuelino.jpg/1280px-Museu_Regional_de_Beja_-_Claustro_Manuelino.jpg,[]
São Domingos Mine Trail,Trilho da Mina de São Domingos,trail,"Arqueologia Industrial, Percurso Pedestre","Este trilho pedestre, com aproximadamente 13 km de extensão, não possui um arquiteto ou ano de construção no sentido tradicional, mas foi desenvolvido e sinalizado na viragem do século XXI (anos 2000) para valorizar a paisagem e a história mineira da região. Percorre a antiga área da Mina de São Domingos, uma das mais importantes minas de pirites da Península Ibérica, ativa desde a antiguidade romana até 1966. O percurso permite observar as estruturas da antiga exploração mineira, como as ruínas das oficinas, a capela, o antigo hospital e a impressionante ""cova"" a céu aberto. O trilho integra-se no Parque Natural do Vale do Guadiana e oferece uma perspetiva única sobre a arqueologia industrial e a recuperação natural da paisagem.",https://pt.wikipedia.org/wiki/Mina_de_S%C3%A3o_Domingos,,,37.6437,-7.4988,Batch: Beja,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Mina_de_S%C3%A3o_Domingos.jpg/1280px-Mina_de_S%C3%A3o_Domingos.jpg,[]
Sanctuary of Bom Jesus do Monte,Santuário do Bom Jesus do Monte,church,"Santuário Barroco, Monumento Nacional","O arquiteto Carlos Amarante foi responsável pelo projeto da atual igreja, cuja construção se iniciou em 1784, e o célebre escadório barroco foi edificado em várias fases a partir de 1723, com contribuições de arquitetos como André Soares. O Santuário do Bom Jesus do Monte é um notável exemplo de arquitetura religiosa barroca, rococó e neoclássica, localizado numa encosta com vista panorâmica sobre a cidade de Braga. É famoso pelo seu escadório monumental, que simboliza a Via Sacra com várias capelas e fontes alegóricas, e pelos seus jardins luxuriantes. Classificado como Património Mundial da UNESCO em 2019, o complexo é um importante local de peregrinação e um ícone turístico de Portugal.",https://pt.wikipedia.org/wiki/Santuário_do_Bom_Jesus_do_Monte,12109,,41.554,-8.378,Batch: Braga,https://upload.wikimedia.org/wikipedia/commons/e/ed/Bom_Jesus_do_Monte%2C_Braga%2C_Portugal_-_panoramio_%281%29.jpg,[]
Braga Cathedral,Sé de Braga,church,"Catedral, Românica, Gótica, Manuelina, Barroca","Iniciada a sua construção em 1070, sob a direção de D. Paio Mendes, e sagrada em 1089, a Sé de Braga é a catedral mais antiga de Portugal, apresentando uma rica sobreposição de estilos arquitetónicos. Destacam-se elementos românicos originais, góticos, manuelinos (com a intervenção do arquiteto João de Castilho no coro e capela-mor no século XVI) e barrocos (notáveis nas torres e no exterior). A sua história está intimamente ligada à fundação da nacionalidade portuguesa, servindo como modelo para outras catedrais do país. O seu tesouro, coro-alto e capelas laterais são de grande valor artístico e histórico.",https://pt.wikipedia.org/wiki/Sé_de_Braga,269,,41.549,-8.423,Batch: Braga,https://upload.wikimedia.org/wikipedia/commons/e/e5/Sé_de_Braga_-_Portugal.jpg,[]
Guimarães Castle,Castelo de Guimarães,castle,"Medieval, Românico","A fundação do Castelo de Guimarães remonta ao século X, por volta de 950-960, mandado edificar pela Condessa Mumadona Dias para proteger o mosteiro que fundara. Foi reconstruído e ampliado significativamente no século XII, no período do Conde D. Henrique, o que lhe conferiu a sua configuração atual. Este castelo românico medieval, com a sua imponente torre de menagem, muralhas e oito torres retangulares, é um símbolo da fundação da nacionalidade portuguesa, pois foi palco da Batalha de São Mamede em 1128 e é tradicionalmente considerado o local de nascimento de D. Afonso Henriques, o primeiro rei de Portugal.",https://pt.wikipedia.org/wiki/Castelo_de_Guimarães,78,,41.484,-8.291,Batch: Braga,https://upload.wikimedia.org/wikipedia/commons/4/4b/Guimaraes_Castle_Portugal.jpg,[]
